mesa,A540,A500,A520,P13,A590,A560,A570,blancos,nulos
4968,115,49,27,5,3,7,2,4,12
4969,128,66,29,2,1,4,1,10,7
4973,98,89,39,3,3,8,2,3,7
4974,117,64,21,8,2,4,1,3,15
4985,95,90,33,5,3,13,3,12,0
4929,83,71,38,2,5,11,3,14,6
5190,107,77,42,4,1,7,4,4,7
4966,105,84,26,5,1,7,1,4,5
4965,109,60,32,6,0,5,0,4,11
4984,61,111,31,12,0,11,5,6,0
4986,97,103,15,3,3,5,4,18,0
4983,73,101,24,9,3,3,4,12,0
4982,103,65,23,10,2,11,7,13,0
4979,107,80,24,11,2,6,3,12,0
5016,112,77,25,4,0,6,2,8,0
4981,70,99,34,6,3,9,3,18,0
5017,86,102,31,5,2,14,3,13,0
4967,112,86,24,1,2,5,1,6,9
4980,101,99,25,8,5,8,4,18,0
5015,107,64,23,8,3,8,2,19,0
5014,90,93,24,9,3,8,2,18,0
5010,90,83,30,7,2,11,2,14,0
5012,92,90,19,9,4,12,3,13,0
5013,75,107,27,9,5,6,3,8,0
5011,95,97,21,5,1,10,4,7,0
5005,96,70,32,8,4,4,6,17,0
5004,89,90,21,6,2,7,2,14,0
5006,89,93,30,10,3,8,2,13,0
5007,91,93,26,11,4,8,7,12,0
5008,94,82,18,15,3,7,1,26,0
5003,109,82,16,14,5,5,3,14,0
5002,88,79,26,11,0,11,4,19,0
5009,96,88,24,7,0,3,0,23,0
5022,117,90,24,2,0,6,1,11,7
5023,129,87,18,0,0,4,1,11,9
5021,101,106,29,1,2,8,1,17,3
4938,94,83,25,0,0,6,4,14,15
5000,103,73,33,7,1,8,3,7,0
5062,77,110,38,2,1,9,5,3,10
5060,71,106,32,2,4,18,6,5,8
4998,86,100,14,6,1,15,2,23,0
4937,91,77,23,4,2,5,1,15,10
5053,102,82,44,2,3,13,5,4,10
4999,106,72,28,9,6,5,4,18,0
4804,86,23,52,1,0,0,0,29,0
4994,111,62,26,3,5,3,0,9,0
4997,88,90,18,3,0,8,5,18,0
4995,86,89,34,10,1,8,2,11,0
4993,77,95,33,5,1,10,5,12,0
4991,92,85,23,15,3,8,2,20,0
4992,95,68,31,10,5,6,4,12,0
4996,89,85,26,8,3,7,6,14,0
5188,0,0,0,0,0,0,0,0,0
5189,87,98,52,4,0,13,3,3,4
5186,78,94,38,7,1,17,4,10,3
5194,96,65,58,5,5,16,4,5,12
5196,89,91,46,5,3,11,1,8,8
